CellNumber,point1x,point1y,point2x,point2y,point3x,point3y,neighbor1,neighbor2,neighbor3
0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,4,12,1
1,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,-1,-1,0
2,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,-1,-1,3
3,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,6,5,2
4,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,5,0,-1
5,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,10,4,3
6,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,11,3,7
7,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,-1,8,6
8,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,-1,9,7
9,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,8,-1,14
10,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,12,5,11
11,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,10,6,14
12,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,10,13
13,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,-1,12,16
14,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,9,15,11
15,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,14,-1,17
16,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,17,-1,13
17,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,-1,16,15
